PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PRIVATE	VIC	ST JOHN OF GOD BENDIGO HOSPITAL	0036320X	133-145 LILY STREET	BENDIGO	3550																																												
PRIVATE	VIC	ST JOHN OF GOD BERWICK DAY ONCOLOGY CENTRE	0044070Y	"LEVEL 1, 55 KANGAN DRIVE"	BERWICK	3806																																												
PRIVATE	VIC	ST JOHN OF GOD BERWICK HOSPITAL	0035080F	75 KANGAN DRIVE	BERWICK	3806																																												
PRIVATE	WA	ST JOHN OF GOD BUNBURY HOSPITAL	0075200T	CNR ROBERTSON DRIVE & BUSSELL HIGHWAY	BUNBURY	6230																																												
PRIVATE	NSW	ST JOHN OF GOD BURWOOD HOSPITAL	0016070J	13-21 GRANTHAM STREET	BURWOOD	2134																																												
PRIVATE	VIC	ST JOHN OF GOD FRANKSTON REHABILITATION HOSPITAL	0036810A	255-265 CRANBOURNE ROAD	FRANKSTON	3199																																												
PRIVATE	VIC	ST JOHN OF GOD GEELONG HOSPITAL	0035340A	80 - 83 MYERS STREET	GEELONG	3220																																												
PRIVATE	WA	ST JOHN OF GOD GERALDTON HOSPITAL	0075210L	12 HERMITAGE STREET	GERALDTON	6530																																												
PRIVATE	WA	"ST JOHN OF GOD HOSPITAL, SUBIACO"	0075240H	12 SALVADO ROAD	SUBIACO	6008																																												
PRIVATE	VIC	ST JOHN OF GOD LANGMORE CENTRE 	0036560B	3 GIBB STREET	BERWICK	3806																																												
PRIVATE	WA	ST JOHN OF GOD MIDLAND HEALTH CAMPUS	0075700W	1 CLAYTON STREET	MIDLAND	6056																																												
PRIVATE	WA	ST JOHN OF GOD MT LAWLEY HOSPITAL	0075160H	THIRLMERE ROAD	MOUNT LAWLEY	6050																																												
PRIVATE	WA	ST JOHN OF GOD MURDOCH HOSPITAL	0075480L	100 MURDOCH DRIVE	MURDOCH	6150																																												
PRIVATE	NSW	ST JOHN OF GOD RICHMOND HOSPITAL	0016080H	177 GROSE VALE ROAD	NORTH RICHMOND	2754																																												
PRIVATE	WA	ST JOHN OF GOD SUBIACO EYE HOSPITAL 	0077190H	190 CAMBRIDGE STREET	WEMBLEY	6014																																												
PRIVATE	VIC	ST JOHN OF GOD WARRNAMBOOL HOSPITAL	0035820H	136 BOTANIC ROAD	WARRNAMBOOL	3280																																												
PUBLIC	NSW	ST JOSEPH'S HOSPITAL	0010430F	1 NORMANBY ROAD	AUBURN	2144																																												
PRIVATE	VIC	ST KILDA DAY HOSPITAL	0043810J	26A DICKENS STREET	ELWOOD	3184																																												
PRIVATE	NSW	ST LUKE'S HOSPITAL	0017010L	18 ROSLYN STREET	POTTS POINT	2011																																												
PUBLIC	SA	ST MARGARETS REHABILITATION CENTRE	0060040F	65 MILITARY ROAD	SEMAPHORE	5019																																												
PUBLIC	TAS	ST MARYS COMMUNITY HEALTH CENTRE	0080180F	GARDINERS CREEK ROAD	ST MARYS	7215																																												
PRIVATE	QLD	ST STEPHEN'S HOSPITAL HERVEY BAY	0057320A	1 MEDICAL PLACE	URRAWEEN	4655																																												
PUBLIC	NSW	ST VINCENT'S HOSPITAL (DARLINGHURST)	0010460Y	390 VICTORIA STREET	DARLINGHURST	2010																																												
PUBLIC	NSW	ST VINCENT'S HOSPITAL (LISMORE)	0012040B	DALLEY STREET	LISMORE	2480																																												
PUBLIC	VIC	ST VINCENT'S HOSPITAL (MELBOURNE) LTD	0031140X	41 VICTORIA PARADE	FITZROY	3065																																												
PRIVATE	NSW	ST VINCENT'S PRIVATE COMMUNITY HOSPITAL GRIFFITH	0017550H	41-45 ANIMOO AVENUE	GRIFFITH	2680																																												
PRIVATE	NSW	ST VINCENT'S PRIVATE HOSPITAL (DARLINGHURST)	0016150J	406 VICTORIA STREET	DARLINGHURST	2010																																												
PRIVATE	NSW	ST VINCENT'S PRIVATE HOSPITAL (LISMORE)	0017030J	DALLEY STREET	LISMORE	2480																																												
PRIVATE	QLD	ST VINCENT'S PRIVATE HOSPITAL BRISBANE	0055570Y	411 MAIN STREET	KANGAROO POINT	4169																																												
PRIVATE	VIC	ST VINCENT'S PRIVATE HOSPITAL EAST MELBOURNE	0035500A	159 GREY STREET	EAST MELBOURNE	3002																																												
PRIVATE	VIC	ST VINCENT'S PRIVATE HOSPITAL FITZROY	0036340T	59-61 VICTORIA PARADE	FITZROY	3065																																												
PRIVATE	VIC	ST VINCENT'S PRIVATE HOSPITAL KEW	0036470F	5 STUDLEY AVENUE	KEW	3101																																												
PRIVATE	QLD	ST VINCENT'S PRIVATE HOSPITAL NORTHSIDE	0056000B	627 RODE ROAD	CHERMSIDE	4032																																												
PRIVATE	QLD	ST VINCENT'S PRIVATE HOSPITAL TOOWOOMBA	0055460F	22-36 SCOTT STREET	TOOWOOMBA	4350																																												
PRIVATE	VIC	ST VINCENTS PRIVATE HOSPITAL WERRIBEE	0036980F	240 HOPPERS LANE	WERRIBEE	3030																																												
PUBLIC	QLD	STANTHORPE HOSPITAL	0051200L	8 MCGREGOR TERRACE	STANTHORPE	4380																																												
PUBLIC	VIC	STAWELL REGIONAL HEALTH	0031110B	27-29 SLOANE STREET	STAWELL	3380																																												
PRIVATE	TAS	STEELE STREET CLINIC	0087010K	166 STEELE STREET	DEVONPORT	7310																																												
PRIVATE	WA	STIRLING DIALYSIS CLINIC	0077230T	1 PUCCINI COURT	STIRLING	6021																																												
PRIVATE	SA	STIRLING HOSPITAL INC	0065340X	20 MILAN TERRACE	STIRLING	5152																																												
PRIVATE	VIC	STONNINGTON DAY SURGERY	0043560K	LEVEL 1; 253 WATTLETREE ROAD	MALVERN	3144																																												
PUBLIC	SA	STRATHALBYN AND DISTRICT HEALTH SERVICES	0060520K	14 ALFRED PLACE	STRATHALBYN	5255																																												
PRIVATE	NSW	STRATHFIELD PRIVATE HOSPITAL	0015070W	3 EVERTON ROAD	STRATHFIELD	2135																																												
PUBLIC	SA	STREAKY BAY HOSPITAL	0060530J	1 FLINDERS DRIVE	STREAKY BAY	5680																																												
PRIVATE	WA	SUBIACO PRIVATE HOSPITAL	0075660J	"SUITE 9, 1 SALVADO ROAD"	SUBIACO	6008																																												
PUBLIC	VIC	SUNBURY DAY HOSPITAL	0044020J	7 MACEDON STREET	SUNBURY	3429																																												
PRIVATE	WA	SUNDEW DAY SURGERY	0075720L	24 SUNDEW RISE	JOONDALUP	6027																																												
PRIVATE	QLD	SUNNYBANK PRIVATE HOSPITAL	0055720A	245 MCCULLOUGH STREET	SUNNYBANK	4109																																												
PRIVATE	QLD	SUNSHINE COAST DAY SURGERY	0657801A	CNR MEMORIAL & SECOND AVENUES	MAROOCHYDORE	4558																																												
PRIVATE	QLD	SUNSHINE COAST HAEMATOLOGY AND ONCOLOGY CLINIC	0926591Y	8-10 KING STREET	BUDERIM	4556																																												
PUBLIC	QLD	SUNSHINE COAST UNIVERSITY HOSPITAL	0051960W	6 DOHERTY STREET	BIRTINYA	4575																																												
PRIVATE	QLD	SUNSHINE COAST UNIVERSITY PRIVATE HOSPITAL	0056110X	3 DOHERTY STREET	BIRTINYA	4575																																												
PRIVATE	VIC	SUNSHINE DIALYSIS CLINIC	0044130B	"LEVEL 1, 147-149 FURLONG ROAD"	ST ALBANS	3021																																												
PUBLIC	VIC	SUNSHINE HOSPITAL	0031910T	176 FURLONG ROAD	ST ALBANS	3021																																												
PRIVATE	VIC	SUNSHINE PRIVATE DAY SURGERY	0043530W	145 FURLONG ROAD	ST ALBANS	3021																																												
PRIVATE	VIC	SUNSHINE PRIVATE HOSPITAL	0037090J	145 FURLONG ROAD	ST ALBANS	3021																																												
PUBLIC	QLD	SURAT HOSPITAL	0051210K	LOT 73 IVAN STREET	SURAT	4417																																												
PUBLIC	QLD	SURGICAL TREATMENT AND REHABILITATION SERVICE (STARS)	0051980L	296 HERSTON ROAD 	HERSTON	4029																																												
PRIVATE	NSW	SURRY HILLS DAY HOSPITAL	0027040L	573 CROWN STREET	SURRY HILLS	2010																																												
PRIVATE	NSW	SUTHERLAND HEART CLINIC	0017280L	"LEVEL 2, THE SUTHERLAND HOSPITAL, THE KINGSWAY"	CARINGBAH	2229																																												
PRIVATE	NSW	SWAN CLINIC FOR PLASTIC SURGERY	0027620T	331 THE BOULEVARDE	GYMEA	2227																																												
PUBLIC	WA	SWAN DISTRICTS HOSPITAL	0070950W	EVELINE ROAD	MIDDLE SWAN	6056																																												
PUBLIC	VIC	SWAN HILL DISTRICT HEALTH [SWAN HILL]	0031160T	48 SPLATT STREET	SWAN HILL	3585																																												
PRIVATE	NSW	SYDNEY ADVENTIST HOSPITAL	0016260B	185 FOX VALLEY ROAD	WAHROONGA	2076																																												
PUBLIC	NSW	SYDNEY CHILDREN'S HOSPITAL	0012870J	HIGH STREET	RANDWICK	2031																																												
PRIVATE	NSW	SYDNEY CLINIC FOR GASTROINTESTINAL DISEASES	0657501L	"LEVEL 10, 1 NEWLAND STREET"	BONDI JUNCTION	2022																																												
PRIVATE	NSW	SYDNEY DAY HOSPITAL	0027470L	"LEVEL 1, PARK HOUSE , 187 MACQUARIE STREET"	SYDNEY	2000																																												
PRIVATE	NSW	SYDNEY DAY SURGERY	0027030T	213-219 DARLINGHURST ROAD	DARLINGHURST	2010																																												
PRIVATE	NSW	SYDNEY DAY SURGERY - PRINCE ALFRED	0666411H	"RPAH MEDICAL CENTRE SUITE 106, 100 CARILLON AVENUE"	NEWTOWN	2042																																												
PUBLIC	NSW	SYDNEY HOSPITAL AND SYDNEY EYE HOSPITAL	0010500H	8 MACQUARIE STREET	SYDNEY	2000																																												
PRIVATE	NSW	SYDNEY OCULOPLASTIC SURGERY	0027200L	"LEVEL 7, 229 MACQUARIE STREET"	SYDNEY	2000																																												
PRIVATE	NSW	SYDNEY PAIN DAY SURGERY	0027640K	"SUITE 3, 44-46 OXFORD STREET"	EPPING	2121																																												
PRIVATE	NSW	SYDNEY RETINA CLINIC & DAY SURGERY	0027140J	"LEVEL 13, 187 MACQUARIE STREET"	SYDNEY	2000																																												
PRIVATE	NSW	SYDNEY SOUTHWEST PRIVATE HOSPITAL	0016910H	32-40 BIGGE STREET	LIVERPOOL	2170																																												
PRIVATE	NSW	SYDNEY SPECIALIST DAY HOSPITAL	0656931Y	"SUITE 501, 7 HELP STREET"	CHATSWOOD	2067																																												
PRIVATE	NSW	SYDNEY SURGICAL CENTRE	0027460T	LEVEL 1 166-168 BELMORE ROAD	RANDWICK	2031																																												
PUBLIC	SA	TAILEM BEND HOSPITAL	0060600K	PRINCES HIGHWAY	TAILEM BEND	5260																																												
PUBLIC	VIC	TALLANGATTA HEALTH SERVICE	0031170L	25 BARREE STREET	TALLANGATTA	3700																																												
PRIVATE	NSW	TAMARA PRIVATE HOSPITAL	0016700W	2-6 DEAN STREET	TAMWORTH	2340																																												
PUBLIC	NSW	TAMWORTH RURAL REFERRAL HOSPITAL	0012090T	31 DEAN STREET	TAMWORTH	2340																																												
PUBLIC	SA	TANUNDA HOSPITAL	0060830X	15 MILL STREET	TANUNDA	5352																																												
PUBLIC	QLD	TARA HOSPITAL	0051230H	15 BILTON STREET	TARA	4421																																												
PUBLIC	QLD	TAROOM HOSPITAL	0051240F	MILLER STREET	TAROOM	4420																																												
PRIVATE	QLD	TASMAN HEALTH CARE DAY INFUSION UNIT	0057480H	"SUITE 3B & 8, LEVEL 3, 123 NERANG STREET"	SOUTHPORT	4215																																												
PUBLIC	TAS	TASMAN MULTI-PURPOSE CENTRE	0085200Y	MAIN ROAD	NUBEENA	7184																																												
PUBLIC	NSW	TEMORA HOSPITAL	0012100H	168-182 LOFTUS STREET 	TEMORA	2666																																												
PRIVATE	VIC	TEMPLESTOWE DAY SURGERY	0044280K	2/114 JAMES STREET	TEMPLESTOWE	3106																																												
PUBLIC	NT	TENNANT CREEK HOSPITAL	0095040F	41 SCHMIDT STREET	TENNANT CREEK	0860																																												
PUBLIC	VIC	TERANG & MORTLAKE HEALTH SERVICE	0030820B	13 AUSTIN AVENUE	TERANG	3264																																												
PUBLIC	QLD	TEXAS HOSPITAL MULTIPURPOSE HEALTH SERVICE	0051250B	MINGOOLA ROAD	TEXAS	4385																																												
PUBLIC	VIC	THE ALFRED	0030020L	55 COMMERCIAL ROAD	PRAHRAN	3004																																												
PRIVATE	VIC	THE AVENUE PRIVATE HOSPITAL	0036440K	40 THE AVENUE	WINDSOR	3181																																												
PRIVATE	VIC	THE BAYS HOSPITAL	0035400F	"VALE STREET (MAIN CAMPUS) & 
86 VICTORIA STREET, HASTINGS "	MORNINGTON	3931																																												
PRIVATE	NSW	THE BORDER CANCER HOSPITAL	0017540J	201-239 BORELLA ROAD	ALBURY	2640																																												
PUBLIC	ACT	THE CANBERRA HOSPITAL	0090030B	77 YAMBA DRIVE	GARRAN	2605																																												
PRIVATE	NSW	THE CATARACT CLINIC (AUST)	0026900T	1 MCCLAREN STREET	NORTH SYDNEY	2060																																												
PUBLIC	NSW	THE CHILDREN'S HOSPITAL AT WESTMEAD	0010300T	178 HAWKESBURY ROAD	WESTMEAD	2145																																												
PRIVATE	VIC	THE DIGESTIVE HEALTH CENTRE	0656701L	90 DAVID STREET	DANDENONG	3175																																												
PRIVATE	TAS	THE EYE HOSPITAL	0834321J	262 CHARLES STREET	LAUNCESTON	7250																																												
PUBLIC	NSW	THE FORENSIC HOSPITAL	0012860K	1300 ANZAC PARADE	MALABAR	2036																																												
PRIVATE	VIC	THE GEELONG CLINIC	0036590X	98 TOWNSEND ROAD	ST ALBANS PARK	3219																																												
PRIVATE	NSW	THE GEORGE CENTRE	0017700J	1A & 1B THE HERMITAGE WAY	GLEDSWOOD HILLS	2557																																												
PRIVATE	VIC	THE GLEN ENDOSCOPY CENTRE	0043580H	302 SPRINGVALE ROAD	GLEN WAVERLEY	3150																																												
PRIVATE	VIC	THE HADER CLINIC	0037020A	6-8 TOWNSEND ROAD	ST ALBANS PARK	3219																																												
PRIVATE	NSW	THE HILLS CLINIC	0017410X	3 MCCAUSLAND PLACE	KELLYVILLE	2155																																												
PRIVATE	NSW	THE HILLS PRIVATE HOSPITAL	0017320Y	499 WINDSOR ROAD	BAULKHAM HILLS	2153																																												
PRIVATE	TAS	THE HOBART CLINIC	0085130X	31 CHIPMANS ROAD	ROKEBY	7019																																												
PUBLIC	VIC	THE KILMORE AND DISTRICT HOSPITAL	0030560H	RUTLEDGE STREET	KILMORE	3764																																												
PRIVATE	VIC	THE MELBOURNE CLINIC	0036520K	130 CHURCH STREET	RICHMOND	3121																																												
PRIVATE	VIC	THE MELBOURNE EASTERN PRIVATE HOSPITAL	0036570A	157 SCORESBY ROAD	BORONIA	3155																																												
PUBLIC	VIC	THE MORNINGTON CENTRE	0032110W	CNR TYALLA GROVE & SEPARATION STREET	MORNINGTON	3931																																												
PUBLIC	VIC	THE NORTHERN HOSPITAL	0030940W	185 COOPER STREET	EPPING	3076																																												
PUBLIC	QLD	THE PARK - CENTRE FOR MENTAL HEALTH	0051850A	CRN ELLERTON DRIVE & WOLSTON PARK ROAD	WACOL	4076																																												
PRIVATE	WA	THE PARK PRIVATE HOSPITAL	0075110W	14 ALVAN STREET	MOUNT LAWLEY	6050																																												
PUBLIC	QLD	THE PRINCE CHARLES HOSPITAL	0051400F	627 RODE ROAD	CHERMSIDE	4032																																												
PUBLIC	VIC	THE QUEEN ELIZABETH CENTRE	0030960L	53 THOMAS STREET	NOBLE PARK	3174																																												
PUBLIC	SA	THE QUEEN ELIZABETH HOSPITAL	0060010K	28 WOODVILLE ROAD	WOODVILLE	5011																																												
PUBLIC	SA	THE ROYAL ADELAIDE HOSPITAL	0060030H	"PORT ROAD, ADELAIDE SA 5000 & 207-235 HAMPSTEAD ROAD, LIGHTSVIEW SA 5085 & 237 HAMPSTEAD ROAD, NORTHFIELD SA 5085 & 216 DAWS ROAD, DAW PARK  SA 5041"	ADELAIDE	5000																																												
PUBLIC	VIC	THE ROYAL CHILDRENS HOSPITAL	0031020F	50 FLEMINGTON ROAD	PARKVILLE	3052																																												
PUBLIC	VIC	THE ROYAL VICTORIAN EYE AND EAR HOSPITAL	0031240T	32 GISBORNE STREET	EAST MELBOURNE	3002																																												
PUBLIC	VIC	THE ROYAL WOMEN'S HOSPITAL	0031040A	20 FLEMINGTON ROAD	PARKVILLE	3052																																												
PRIVATE	NSW	THE SAN DAY SURGERY	0017150A	1A NORTHCOTE ROAD	HORNSBY	2077																																												
PRIVATE	NSW	THE SKIN HOSPITAL	0834361A	7 ASHLEY LANE	WESTMEAD	2145																																												
PRIVATE	NSW	THE SKIN HOSPITAL (DARLINGHURST)	0027380T	121 CROWN STREET	DARLINGHURST	2010																																												
PRIVATE	QLD	THE SOUTHPORT PRIVATE HOSPITAL	0056180F	21 SPENDELOVE AVENUE	SOUTHPORT	4215																																												
PUBLIC	NSW	THE SUTHERLAND HOSPITAL	0010480W	430 KINGSWAY	CARINGBAH	2229																																												
PRIVATE	NSW	THE SYDNEY CLINIC	0016630T	22-24 MURRAY STREET	BRONTE	2024																																												
PRIVATE	NSW	THE SYDNEY PRIVATE HOSPITAL	0015770K	63 VICTORIA STREET	ASHFIELD	2131																																												
PRIVATE	SA	THE TENNYSON CENTRE DAY HOSPITAL	0067130L	"TENANCY 18, LEVEL 1, 520 SOUTH ROAD"	KURRALTA PARK	5037																																												
PRIVATE	QLD	THE TOOWOOMBA CLINIC	0056210T	18 PECHEY STREET	SOUTH TOOWOOMBA	4350																																												
PRIVATE	VIC	THE VICTORIA CLINIC	0036170W	324 MALVERN ROAD	PRAHRAN	3181																																												
PRIVATE	VIC	THE VICTORIAN REHABILITATION CENTRE	0036640B	499 SPRINGVALE ROAD	GLEN WAVERLEY	3150																																												
PRIVATE	QLD	THE WESLEY HOSPITAL	0055690L	451 CORONATION DRIVE	AUCHENFLOWER	4066																																												
PUBLIC	QLD	THEODORE HOSPITAL	0051270Y	85 THE BOULEVARD	THEODORE	4719																																												
PUBLIC	VIC	THOMAS EMBLING HOSPITAL	0032010Y	YARRA BEND ROAD	FAIRFIELD	3078																																												
PUBLIC	QLD	THURSDAY ISLAND HOSPITAL	0051280X	93 VICTORIA PARADE	THURSDAY ISLAND	4875																																												
PUBLIC	NSW	TIBOOBURRA HEALTH SERVICE	0012120B	STURT STREET	TIBOOBURRA	2880																																												
PUBLIC	VIC	TIMBOON & DISTRICT HEALTHCARE SERVICE	0031200A	21 HOSPITAL ROAD	TIMBOON	3268																																												
PUBLIC	NSW	TINGHA MULTIPURPOSE SERVICE	0012130A	INVERELL ROAD	TINGHA	2369																																												
PUBLIC	NSW	TOCUMWAL HOSPITAL	0012140Y	ADAMS STREET	TOCUMWAL	2714																																												
PUBLIC	WA	TOM PRICE HOSPITAL	0071140Y	862 MINE ROAD	TOM PRICE	6751																																												
PUBLIC	NSW	TOMAREE COMMUNITY HOSPITAL	0010000F	2 TREVALLY STREET	NELSON BAY	2315																																												
PUBLIC	TAS	TOOSEY AGED AND COMMUNITY CARE	0080150K	10 ARCHER STREET	LONGFORD	7301																																												
PRIVATE	QLD	TOOWONG PRIVATE HOSPITAL	0055670W	496 MILTON ROAD	TOOWONG	4066																																												
PRIVATE	QLD	TOOWOOMBA HOSPICE	0056030X	57B O'QUINN STREET	TOOWOOMBA	4350																																												
PUBLIC	QLD	TOOWOOMBA HOSPITAL	0051290W	PECHEY STREET	TOOWOOMBA	4350																																												
PRIVATE	QLD	TOOWOOMBA PRIVATE DAY HOSPITAL	0057560H	20 GOGGS STREET	TOOWOOMBA	4350																																												
PRIVATE	QLD	TOOWOOMBA SURGICENTRE	0656571H	18 SCOTT STREET	TOOWOOMBA	4350																																												
PRIVATE	NSW	TORONTO PRIVATE HOSPITAL	0016480L	CARY STREET	TORONTO	2283																																												
PUBLIC	NSW	TOTTENHAM HOSPITAL	0012150X	LOT 10 MOONDANA STREET	TOTTENHAM	2873																																												
PRIVATE	QLD	TOWNSVILLE DAY SURGERY	0057240A	"1 MARTINEZ AVENUE, WEST END"	TOWNSVILLE	4810																																												
PRIVATE	QLD	TOWNSVILLE PRIVATE CLINIC	0056140L	136-146 WILLS STREET	TOWNSVILLE CITY	4810																																												
PUBLIC	QLD	TOWNSVILLE UNIVERSITY HOSPITAL	0051840B	100 ANGUS SMITH DRIVE	DOUGLAS	4814																																												
PUBLIC	NSW	TRANGIE MULTI PURPOSE HEALTH SERVICE	0012160W	1 HARRIS STREET	TRANGIE	2823																																												
PUBLIC	NSW	TRESILLIAN FAMILY CARE CENTRE - BELMORE	0010350F	11 MCKENZIE STREET	BELMORE	2192																																												
PUBLIC	NSW	TRESILLIAN FAMILY CARE CENTRE - WILLOUGHBY	0010370A	2 SECOND AVENUE	WILLOUGHBY	2068																																												
PUBLIC	NSW	TRESILLIAN FAMILY CARE CENTRE - WOLLSTONECRAFT	0012810Y	25 SHIRLEY ROAD	WOLLSTONECRAFT	2065																																												
PUBLIC	NSW	TRUNDLE MULTI PURPOSE SERVICE	0012580X	44 BROOKVIEW STREET	TRUNDLE	2875																																												
PRIVATE	NSW	TUGGERAH LAKES PRIVATE HOSPITAL	0017600L	645 PACIFIC HIGHWAY	KANWAL	2259																																												
PUBLIC	NSW	TULLAMORE MULTI PURPOSE HEALTH SERVICE	0012170T	1 HINKLER STREET	TULLAMORE	2874																																												
PUBLIC	QLD	TULLY HOSPITAL	0051310H	17 BRYANT STREET	TULLY	4854																																												
PUBLIC	NSW	TUMBARUMBA MULTI PURPOSE SERVICE	0012180L	4 MITCHELL STREET	TUMBARUMBA	2653																																												
PUBLIC	SA	TUMBY BAY HOSPITAL	0060540H	8-11 ESPLANADE	TUMBY BAY	5605																																												
PUBLIC	NSW	TUMUT DISTRICT HOSPITAL	0012190K	105 SIMPSON STREET	TUMUT	2720																																												
PUBLIC	VIC	TWEDDLE CHILD AND FAMILY HEALTH SERVICE	0031220X	53 ADELAIDE STREET	FOOTSCRAY	3011																																												
PRIVATE	NSW	TWEED DAY SURGERY	0999441J	"SUITE 4, 38-44 BOYD STREET"	TWEED HEADS	2485																																												
PUBLIC	NSW	TWEED VALLEY HOSPITAL	0012690L	771 CUDGEN ROAD	CUDGEN	2487																																												
PRIVATE	NSW	ULLADULLA ENDOSCOPY & MEDICAL CENTRE	0027260A	111 PRINCES HIGHWAY	ULLADULLA	2539																																												
PUBLIC	ACT	UNIVERSITY OF CANBERRA HOSPITAL	0090050Y	20 GURAGUMA STREET 	BRUCE	2617																																												
PUBLIC	VIC	UPPER MURRAY HEALTH AND COMMUNITY SERVICES	0030290L	20 KIELL STREET	CORRYONG	3707																																												
PUBLIC	NSW	URANA HEALTH SERVICE	0011620L	127-129 PRINCESS ST	URANA	2645																																												
PUBLIC	NSW	URBENVILLE HEALTH SERVICE	0012230X	45 BEAURY STREET	URBENVILLE	2475																																												
PRIVATE	VIC	VERMONT PRIVATE HOSPITAL	0036970H	LEVEL 2/645-647 BURWOOD HIGHWAY	VERMONT SOUTH	3133																																												
PRIVATE	SA	VICTOR HARBOR PRIVATE HOSPITAL	0065860W	56-74 BAY ROAD	VICTOR HARBOR	5211																																												
PRIVATE	VIC	VICTORIA PARADE SURGERY CENTRE	0043860Y	"LEVEL 1, 100 VICTORIA PARADE"	EAST MELBOURNE	3002																																												
PRIVATE	NSW	VICTORIA STREET PRIVATE HOSPITAL 	0017720F	"LEVEL 1, 2 VICTORIA STREET "	WOLLONGONG 	2500																																												
PRIVATE	VIC	VICTORIAN CENTRE FOR MENTAL HEALTH	0044200F	112-116/445 PRINCES HWY	OFFICER	3809																																												
PRIVATE	VIC	VICTORIAN GUT CENTRE BUNDOORA	0043920B	119 PLENTY ROAD	BUNDOORA	3083																																												
PUBLIC	VIC	VICTORIAN HEART HOSPITAL	0032180B	631 BLACKBURN ROAD	CLAYTON	3168																																												
PRIVATE	QLD	VISION CENTRE DAY SURGERY	0057090Y	95 NERANG STREET	SOUTHPORT	4215																																												
PRIVATE	SA	VISTA DAY SURGERY	0067160H	57 GREENHILL ROAD	WAYVILLE	5034																																												
PRIVATE	VIC	VSC DAY SURGERY	0044260T	"LEVEL 1, 268 MANNINGHAM ROAD"	TEMPLESTOWE LOWER	3107																																												
PUBLIC	NSW	WAGGA WAGGA RURAL REFERRAL HOSPITAL	0012250T	260-280 EDWARD STREET	WAGGA WAGGA	2650																																												
PUBLIC	WA	WAGIN HOSPITAL	0070740F	WARWICK STREET	WAGIN	6315																																												
PUBLIC	SA	WAIKERIE HEALTH SERVICES	0060560B	1 LAWRIE TERRACE	WAIKERIE	5330																																												
PRIVATE	WA	WAIKIKI PRIVATE HOSPITAL	0075500B	221 WILLMOT DRIVE	WAIKIKI	6169																																												
PUBLIC	NSW	WALCHA MULTIPURPOSE SERVICE	0012270K	11 MIDDLE STREET	WALCHA	2354																																												
PRIVATE	WA	WALCOTT STREET SURGICAL CENTRE	0077150T	41 WALCOTT STREET	MOUNT LAWLEY	6050																																												
PUBLIC	NSW	WALGETT HEALTH SERVICE	0012280J	141 FOX STREET	WALGETT	2832																																												
PUBLIC	SA	WALLAROO HOSPITAL	0060570A	1 ERNEST TERRACE	WALLAROO	5556																																												
PRIVATE 	QLD	WANDI NERIDA	0056240J	228 OLD GYMPIE ROAD 	MOOLOOLAH VALLEY	4553																																												
PRIVATE	VIC	WANGARATTA PRIVATE HOSPITAL	0036690T	134-150 TEMPLETON STREET	WANGARATTA	3677																																												
PUBLIC	VIC	WANTIRNA HEALTH	0032000A	251 MOUNTAIN HIGHWAY	WANTIRNA	3152																																												
PUBLIC	NSW	WAR MEMORIAL HOSPITAL	0012590W	125 BIRRELL STREET	WAVERLEY	2024																																												
PRIVATE	NSW	WARATAH PRIVATE HOSPITAL	0017390H	"LEVEL 1, 31 DORA STREET"	HURSTVILLE	2220																																												
PUBLIC	NSW	WARIALDA MULTIPURPOSE SERVICE	0012300Y	LONG STREET	WARIALDA	2402																																												
PRIVATE	NSW	WARNERS BAY PRIVATE HOSPITAL	0016880X	FAIRFAX ROAD	WARNERS BAY	2282																																												
PUBLIC	WA	WARREN HOSPITAL	0070470K	HOSPITAL AVENUE	MANJIMUP	6258																																												
PUBLIC	NSW	WARREN MULTI PURPOSE HEALTH SERVICE	0012310X	LOT 176 DR KATER DRIVE	WARREN	2824																																												
PRIVATE	NSW	WARRINGAH DAY SURGERY	0656991J	10 DALE STREET	BROOKVALE	2100																																												
PRIVATE	VIC	WARRINGAL PRIVATE HOSPITAL	0036490A	216 BURGUNDY STREET; LEVEL 2/10 MARTIN STREET; & LEVEL 1/8 MARTIN STREET	HEIDELBERG	3084																																												
PUBLIC	QLD	WARWICK HOSPITAL	0051340A	56 LOCKE STREET	WARWICK	4370																																												
PUBLIC	NSW	WAUCHOPE DISTRICT MEMORIAL HOSPITAL	0012320W	69 HIGH STREET	WAUCHOPE	2446																																												
PRIVATE	VIC	WAVERLEY ENDOSCOPY	0657311X	301 BLACKBURN ROAD	MOUNT WAVERLEY	3149																																												
PRIVATE	VIC	WAVERLEY PRIVATE HOSPITAL	0036360K	343-357 BLACKBURN ROAD	MOUNT WAVERLEY	3149																																												
PUBLIC	NSW	WEE WAA COMMUNITY HOSPITAL	0012330T	60 ALMA STREET	WEE WAA	2388																																												
PUBLIC	QLD	WEIPA HOSPITAL	0051520X	LOT 407 JOHN EVANS DRIVE	WEIPA	4874																																												
PUBLIC	NSW	WELLINGTON HEALTH SERVICE	0012350K	30 THORNTON STREET	WELLINGTON	2820																																												
PUBLIC	NSW	WENTWORTH DISTRICT HOSPITAL	0012360J	SILVER CITY HIGHWAY	WENTWORTH	2648																																												
PUBLIC	VIC	WERRIBEE MERCY HOSPITAL	0031870H	300 PRINCES HIGHWAY	WERRIBEE	3030																																												
